group,precision,recall,f1-score,support,fold,technique
Advertencia,0.5764705882352941,0.8166666666666667,0.6758620689655173,720,0,LR
Error,0.7920560747663551,0.4708333333333333,0.5905923344947736,720,0,LR
Informativo,0.6938202247191011,0.6861111111111111,0.6899441340782123,720,0,LR
accuracy,0.6578703703703703,0.6578703703703703,0.6578703703703703,0.6578703703703703,0,LR
macro avg,0.6874489625735835,0.6578703703703704,0.6521328458461677,2160,0,LR
weighted avg,0.6874489625735835,0.6578703703703703,0.6521328458461676,2160,0,LR
Advertencia,0.5184782608695652,0.6634214186369958,0.5820622330689444,719,1,LR
Error,0.8308823529411765,0.4714881780250348,0.6015971606033718,719,1,LR
Informativo,0.5814234016887817,0.6703755215577191,0.6227390180878553,719,1,LR
accuracy,0.6017617060732499,0.6017617060732499,0.6017617060732499,0.6017617060732499,1,LR
macro avg,0.6435946718331745,0.6017617060732499,0.6021328039200572,2157,1,LR
weighted avg,0.6435946718331745,0.6017617060732499,0.6021328039200571,2157,1,LR
Advertencia,0.5863596102745793,0.9207232267037552,0.7164502164502164,719,2,LR
Error,1,0.48261474269819193,0.651031895,719,2,LR
Informativo,0.671071953,0.6356050069541029,0.6528571428571428,719,2,LR
accuracy,0.679647659,0.679647659,0.679647659,0.679647659,2,LR
macro avg,0.7524771877616194,0.679647659,0.6734464180805645,2157,2,LR
weighted avg,0.7524771877616194,0.679647659,0.6734464180805644,2157,2,LR
Advertencia,0.49945945945945946,0.6425591098748261,0.5620437956204379,719,3,LR
Error,0.7829099307159353,0.4714881780250348,0.5885416666666666,719,3,LR
Informativo,0.5794743429286608,0.6439499304589708,0.6100131752305665,719,3,LR
accuracy,0.5859990727862773,0.5859990727862773,0.5859990727862773,0.5859990727862773,3,LR
macro avg,0.6206145777013519,0.5859990727862772,0.5868662125058903,2157,3,LR
weighted avg,0.6206145777013519,0.5859990727862773,0.5868662125058903,2157,3,LR
Advertencia,0.5037593984962406,0.6522948539638387,0.5684848484848485,719,4,LR
Error,0.7835990888382688,0.47844228094575797,0.5941278065630398,719,4,LR
Informativo,0.579415502,0.6342141863699583,0.6055776892430279,719,4,LR
accuracy,0.588317107,0.588317107,0.588317107,0.588317107,4,LR
macro avg,0.6222579964134938,0.588317107,0.5893967814303053,2157,4,LR
weighted avg,0.6222579964134938,0.588317107,0.5893967814303054,2157,4,LR
Advertencia,0.5408062930186824,0.7649513212795549,0.6336405529953917,719,5,LR
Error,1,0.48400556328233657,0.6522961574507966,719,5,LR
Informativo,0.571969697,0.6300417246175244,0.599602912,719,5,LR
accuracy,0.62633287,0.62633287,0.62633287,0.62633287,5,LR
macro avg,0.7042586633294597,0.62633287,0.6285132074750034,2157,5,LR
weighted avg,0.7042586633294599,0.62633287,0.6285132074750035,2157,5,LR
Advertencia,0.5923623445825933,0.9276773296244785,0.7230352303523035,719,6,LR
Error,0.9971098265895953,0.47983310152990266,0.647887324,719,6,LR
Informativo,0.6846715328467153,0.6522948539638387,0.6680911680911681,719,6,LR
accuracy,0.6866017617060732,0.6866017617060732,0.6866017617060732,0.6866017617060732,6,LR
macro avg,0.7580479013396347,0.6866017617060732,0.6796712407957113,2157,6,LR
weighted avg,0.7580479013396347,0.6866017617060732,0.6796712407957112,2157,6,LR
Advertencia,0.5471331389698737,0.7830319888734353,0.6441647597254004,719,7,LR
Error,0.7926267281105991,0.47844228094575797,0.5967042497831744,719,7,LR
Informativo,0.6628242074927954,0.6397774687065368,0.6510969568294409,719,7,LR
accuracy,0.6337505795085767,0.6337505795085767,0.6337505795085767,0.6337505795085767,7,LR
macro avg,0.6675280248577561,0.6337505795085767,0.630655322,2157,7,LR
weighted avg,0.6675280248577561,0.6337505795085767,0.630655322,2157,7,LR
Advertencia,0.5907859078590786,0.9095966620305981,0.7163198247535597,719,8,LR
Error,1,0.4714881780250348,0.6408317580340265,719,8,LR
Informativo,0.659634318,0.6522948539638387,0.6559440559440559,719,8,LR
accuracy,0.6777932313398238,0.6777932313398238,0.6777932313398238,0.6777932313398238,8,LR
macro avg,0.7501400752404148,0.6777932313398237,0.67103188,2157,8,LR
weighted avg,0.7501400752404148,0.6777932313398238,0.6710318795772141,2157,8,LR
Advertencia,0.5152838427947598,0.6564673157162726,0.5773700305810398,719,9,LR
Error,0.8,0.4673157162726008,0.5899912203687445,719,9,LR
Informativo,0.5980511571254568,0.6828929068150209,0.6376623376623377,719,9,LR
accuracy,0.6022253129346314,0.6022253129346314,0.6022253129346314,0.6022253129346314,9,LR
macro avg,0.6377783333067388,0.6022253129346314,0.60167453,2157,9,LR
weighted avg,0.6377783333067388,0.6022253129346314,0.60167453,2157,9,LR
